Analyse des 265 colonnes de 1000 lignes
name;areEmpty;areNull;areInt;areFloat;decimal;varchar;type
aac;N;Y;Y;N;0.0;0;I
acper;N;Y;Y;N;0.0;0;I
acteu;N;N;Y;N;0.0;0;I
acteu6;N;N;Y;N;0.0;0;I
actop;N;N;Y;N;0.0;0;I
adfdap;N;Y;Y;N;0.0;0;I
ag;N;N;Y;N;0.0;0;I
ag3;N;N;Y;N;0.0;0;I
ag3b;N;N;Y;N;0.0;0;I
ag5;N;N;Y;N;0.0;0;I
age;N;N;Y;N;0.0;0;I
age3;N;N;Y;N;0.0;0;I
age3b;N;N;Y;N;0.0;0;I
age5;N;N;Y;N;0.0;0;I
ageq;N;N;Y;N;0.0;0;I
agq;N;N;Y;N;0.0;0;I
aidmen;N;Y;Y;N;0.0;0;I
alcnc;N;Y;Y;N;0.0;0;I
alct;N;Y;Y;N;0.0;0;I
am1nb;N;Y;Y;N;0.0;0;I
am2nb;N;Y;Y;N;0.0;0;I
amois;N;Y;Y;N;0.0;0;I
anbsal;N;Y;Y;N;0.0;0;I
ancchom;N;Y;Y;N;0.0;0;I
ancchomm;N;Y;Y;N;0.0;0;I
ancentr;N;Y;Y;N;0.0;0;I
ancentr4;N;Y;Y;N;0.0;0;I
ancinact;N;Y;Y;N;0.0;0;I
ancinatm;N;Y;Y;N;0.0;0;I
annee;N;N;Y;N;0.0;0;I
art;N;Y;Y;N;0.0;0;I
associ;N;Y;Y;N;0.0;0;I
autsal;N;Y;Y;N;0.0;0;I
ca;N;N;Y;N;0.0;0;I
capita;N;Y;Y;N;0.0;0;I
chgm;N;Y;Y;N;0.0;0;I
chpub;N;Y;Y;N;0.0;0;I
circ;N;Y;Y;N;0.0;0;I
clien;Y;Y;N;N;0.0;0;?
comsal;N;Y;Y;N;0.0;0;I
contra;N;Y;Y;N;0.0;0;I
creant;N;Y;Y;N;0.0;0;I
csa;N;Y;Y;N;0.0;0;I
csar;N;Y;Y;N;0.0;0;I
cse;N;Y;Y;N;0.0;0;I
csei;N;Y;Y;N;0.0;0;I
csep;N;Y;Y;N;0.0;0;I
csepr;N;Y;Y;N;0.0;0;I
cser;N;Y;Y;N;0.0;0;I
cspip;N;Y;Y;N;0.0;0;I
cspm;N;N;Y;N;0.0;0;I
cspp;N;N;Y;N;0.0;0;I
css2;N;Y;Y;N;0.0;0;I
css3;N;Y;Y;N;0.0;0;I
css4;Y;Y;N;N;0.0;0;?
cstmn;N;Y;Y;N;0.0;0;I
cstot;N;N;Y;N;0.0;0;I
cstoti;N;N;Y;N;0.0;0;I
cstotr;N;N;Y;N;0.0;0;I
cstplc;N;Y;Y;N;0.0;0;I
damois;N;Y;Y;N;0.0;0;I
datant;N;Y;Y;N;0.0;0;I
datdeb;N;N;Y;N;0.0;0;I
ddipl;N;N;Y;N;0.0;0;I
dejtra;N;Y;Y;N;0.0;0;I
dem;N;N;Y;N;0.0;0;I
dep;N;N;Y;N;0.0;0;I
dimanc;N;Y;Y;N;0.0;0;I
dimheu;N;Y;Y;N;0.0;0;I
dimtyp;N;Y;Y;N;0.0;0;I
dip;N;N;Y;N;0.0;0;I
dip11;N;N;Y;N;0.0;0;I
dipp;N;Y;Y;N;0.0;0;I
dispoc;N;Y;Y;N;0.0;0;I
dispplc;N;Y;Y;N;0.0;0;I
dnai;N;Y;N;N;0.0;2;V
dremc;N;Y;Y;N;0.0;0;I
dremcm;N;Y;Y;N;0.0;0;I
dudet;N;Y;Y;N;0.0;0;I
duhab;N;Y;Y;N;0.0;0;I
durstg;N;Y;Y;N;0.0;0;I
echpub;N;Y;Y;N;0.0;0;I
econtr;N;Y;Y;N;0.0;0;I
ecrec;N;Y;Y;N;0.0;0;I
edep;N;Y;Y;N;0.0;0;I
empabs;N;Y;Y;N;0.0;0;I
empafc;N;Y;N;N;0.0;3;V
empafg;N;Y;N;N;0.0;2;V
empafp;N;Y;N;N;0.0;2;V
empanh;N;Y;N;N;0.0;3;V
empce;N;Y;N;N;0.0;2;V
empco;N;Y;N;N;0.0;3;V
